Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,0,5,7,100000,simplex,27.396171292478307,30.0,29.981172166763027,33.376964590046555,31.53659446851487,24.130184738237205,27.404741941567515,27.704025064884824,29.969155123253724
PredictiveDecorrBSS,0,5,8,100000,simplex,28.160096248018217,30.0,30.02480057934338,16.483991586836055,29.736541940627742,25.38182919022965,29.872034875691547,27.9780028609343,29.82024637725499
PredictiveDecorrBSS,0,5,9,100000,simplex,29.709688080231437,30.0,30.0053056694778,16.37481096899137,30.89745228028884,28.090219285961528,29.826309895224014,30.323491504539174,29.981265124071065
PredictiveDecorrBSS,0,5,10,100000,simplex,30.042769752120524,30.0,29.99514068101206,16.347554249921814,31.0184908946295,27.93052097289772,29.972261399262322,31.444587492279297,30.88123662520875
PredictiveDecorrBSS,0,5,11,100000,simplex,30.284904754688277,30.0,30.012105942150313,16.220989244058728,31.150562662337677,28.593703353861134,29.772295291634762,31.773131414124457,30.933221877674253
PredictiveDecorrBSS,0,5,12,100000,simplex,30.306200705040098,30.0,30.006934547173792,16.289525549160317,31.21258105547378,28.659260801002098,29.81270713803941,32.005637319616845,30.65841729976585
PredictiveDecorrBSS,0,5,13,100000,simplex,30.301036573896383,30.0,29.994903986768037,16.094446904025972,31.0614040262887,28.53024940157352,30.053470771994782,32.29920365812663,30.491160090124364
PredictiveDecorrBSS,100,5,7,100000,simplex,27.755960301596367,30.0,29.991349996951364,16.107392901787534,27.034161862904075,30.873692333797695,30.398714606126447,25.578036737013242,27.21806922360875
PredictiveDecorrBSS,100,5,8,100000,simplex,28.33373186738612,30.0,30.000294669297816,16.081647146958858,28.39473960993834,30.583666022412913,29.691311051893713,26.33744842313697,27.922434819849112
PredictiveDecorrBSS,100,5,9,100000,simplex,28.62912965818431,30.0,29.987775117919973,16.102119856979698,29.145052255774218,31.243040787722776,29.72381252342248,26.901180888242912,27.505508191609916
PredictiveDecorrBSS,100,5,10,100000,simplex,29.02156662491565,30.0,30.01045232328103,15.910310280043632,29.274890814907955,31.360068151135646,30.118258368944495,27.529594876845287,27.93713278443653
PredictiveDecorrBSS,100,5,11,100000,simplex,29.076472118149667,30.0,29.997028325598,16.041519328951836,29.773262747039198,30.806044227297047,29.856577645661172,27.485838219963785,28.29839755289516
PredictiveDecorrBSS,100,5,12,100000,simplex,29.09503942420497,30.0,30.00575993880977,16.072414603084326,29.74051728857781,31.36562498519544,30.176145527502932,27.243904730069705,28.192662468275067
